STATION_NAME,station_codes,DAY_TYPE,TIME_PER_HOUR,daily_avg_tap_in,daily_avg_tap_out
Admiralty,NS10,WEEKDAY,0,49.90909090909091,418.09090909090907
Admiralty,NS10,WEEKDAY,5,1060.090909090909,148.45454545454547
Admiralty,NS10,WEEKDAY,6,3324.7727272727275,855.6818181818181
Admiralty,NS10,WEEKDAY,7,6495.227272727273,2259.2272727272725
Admiralty,NS10,WEEKDAY,8,5047.727272727273,2272.181818181818
Admiralty,NS10,WEEKDAY,9,2659.7272727272725,1206.9545454545455
Admiralty,NS10,WEEKDAY,10,1981.909090909091,808.0909090909091
Admiralty,NS10,WEEKDAY,11,1782.7727272727273,858.9545454545455
Admiralty,NS10,WEEKDAY,12,1708.3636363636363,1052.5454545454545
Admiralty,NS10,WEEKDAY,13,1538.1818181818182,1240.590909090909
Admiralty,NS10,WEEKDAY,14,1325.6818181818182,1288.8181818181818
Admiralty,NS10,WEEKDAY,15,1233.8636363636363,1390.7727272727273
Admiralty,NS10,WEEKDAY,16,1520.6818181818182,1760.2727272727273
Admiralty,NS10,WEEKDAY,17,2980.1363636363635,2771.818181818182
Admiralty,NS10,WEEKDAY,18,3209.0,4833.545454545455
Admiralty,NS10,WEEKDAY,19,1649.090909090909,3923.0454545454545
Admiralty,NS10,WEEKDAY,20,1167.7272727272727,2660.6363636363635
Admiralty,NS10,WEEKDAY,21,777.6818181818181,2403.0454545454545
Admiralty,NS10,WEEKDAY,22,518.6818181818181,2150.1363636363635
Admiralty,NS10,WEEKDAY,23,203.0,1171.7727272727273
Admiralty,NS10,WEEKENDS/HOLIDAY,0,39.888888888888886,455.44444444444446
Admiralty,NS10,WEEKENDS/HOLIDAY,5,549.7777777777778,72.0
Admiralty,NS10,WEEKENDS/HOLIDAY,6,1421.5555555555557,398.77777777777777
Admiralty,NS10,WEEKENDS/HOLIDAY,7,1907.5555555555557,904.7777777777778
Admiralty,NS10,WEEKENDS/HOLIDAY,8,2181.222222222222,1149.0
Admiralty,NS10,WEEKENDS/HOLIDAY,9,2395.1111111111113,1129.2222222222222
Admiralty,NS10,WEEKENDS/HOLIDAY,10,2317.222222222222,956.7777777777778
Admiralty,NS10,WEEKENDS/HOLIDAY,11,2319.3333333333335,1012.8888888888889
Admiralty,NS10,WEEKENDS/HOLIDAY,12,2231.3333333333335,1162.888888888889
Admiralty,NS10,WEEKENDS/HOLIDAY,13,1946.0,1386.5555555555557
Admiralty,NS10,WEEKENDS/HOLIDAY,14,1713.4444444444443,1398.111111111111
Admiralty,NS10,WEEKENDS/HOLIDAY,15,1593.888888888889,1507.2222222222222
Admiralty,NS10,WEEKENDS/HOLIDAY,16,1693.2222222222222,1613.4444444444443
Admiralty,NS10,WEEKENDS/HOLIDAY,17,2036.4444444444443,1884.111111111111
Admiralty,NS10,WEEKENDS/HOLIDAY,18,1714.888888888889,2118.5555555555557
Admiralty,NS10,WEEKENDS/HOLIDAY,19,1231.3333333333333,2110.777777777778
Admiralty,NS10,WEEKENDS/HOLIDAY,20,928.3333333333334,2143.1111111111113
Admiralty,NS10,WEEKENDS/HOLIDAY,21,687.8888888888889,2275.777777777778
Admiralty,NS10,WEEKENDS/HOLIDAY,22,492.1111111111111,2113.8888888888887
Admiralty,NS10,WEEKENDS/HOLIDAY,23,201.44444444444446,1325.4444444444443
Aljunied,EW9,WEEKDAY,0,32.0,150.45454545454547
Aljunied,EW9,WEEKDAY,5,294.59090909090907,30.272727272727273
Aljunied,EW9,WEEKDAY,6,2020.409090909091,344.27272727272725
Aljunied,EW9,WEEKDAY,7,2340.318181818182,847.6363636363636
Aljunied,EW9,WEEKDAY,8,2137.8636363636365,1491.1818181818182
Aljunied,EW9,WEEKDAY,9,1283.7272727272727,953.3636363636364
Aljunied,EW9,WEEKDAY,10,863.6363636363636,567.2727272727273
Aljunied,EW9,WEEKDAY,11,765.5909090909091,552.3181818181819
Aljunied,EW9,WEEKDAY,12,825.9545454545455,636.3181818181819
Aljunied,EW9,WEEKDAY,13,771.6363636363636,711.7272727272727
Aljunied,EW9,WEEKDAY,14,688.6818181818181,700.9545454545455
Aljunied,EW9,WEEKDAY,15,767.8636363636364,753.0909090909091
Aljunied,EW9,WEEKDAY,16,847.0909090909091,858.6363636363636
Aljunied,EW9,WEEKDAY,17,1440.409090909091,1444.1818181818182
Aljunied,EW9,WEEKDAY,18,1806.0,2716.2727272727275
Aljunied,EW9,WEEKDAY,19,1023.5,2676.409090909091
Aljunied,EW9,WEEKDAY,20,747.0454545454545,1604.3181818181818
Aljunied,EW9,WEEKDAY,21,723.3636363636364,1467.0454545454545
Aljunied,EW9,WEEKDAY,22,519.1363636363636,1188.1363636363637
Aljunied,EW9,WEEKDAY,23,252.5909090909091,588.2272727272727
Aljunied,EW9,WEEKENDS/HOLIDAY,0,14.11111111111111,80.33333333333333
Aljunied,EW9,WEEKENDS/HOLIDAY,5,149.44444444444446,7.0
Aljunied,EW9,WEEKENDS/HOLIDAY,6,1336.6666666666667,243.44444444444446
Aljunied,EW9,WEEKENDS/HOLIDAY,7,1389.0,485.1111111111111
Aljunied,EW9,WEEKENDS/HOLIDAY,8,1123.0,948.4444444444445
Aljunied,EW9,WEEKENDS/HOLIDAY,9,1080.111111111111,1360.5555555555557
Aljunied,EW9,WEEKENDS/HOLIDAY,10,1063.0,1184.7777777777778
Aljunied,EW9,WEEKENDS/HOLIDAY,11,1206.4444444444443,1049.111111111111
Aljunied,EW9,WEEKENDS/HOLIDAY,12,1423.7777777777778,1060.7777777777778
Aljunied,EW9,WEEKENDS/HOLIDAY,13,1425.111111111111,1210.5555555555557
Aljunied,EW9,WEEKENDS/HOLIDAY,14,1227.2222222222222,1126.111111111111
Aljunied,EW9,WEEKENDS/HOLIDAY,15,1211.4444444444443,1139.6666666666667
Aljunied,EW9,WEEKENDS/HOLIDAY,16,1416.5555555555557,1254.6666666666667
Aljunied,EW9,WEEKENDS/HOLIDAY,17,1482.0,1689.0
Aljunied,EW9,WEEKENDS/HOLIDAY,18,1417.4444444444443,1960.0
Aljunied,EW9,WEEKENDS/HOLIDAY,19,1216.5555555555557,2001.5555555555557
Aljunied,EW9,WEEKENDS/HOLIDAY,20,1018.7777777777778,1520.5555555555557
Aljunied,EW9,WEEKENDS/HOLIDAY,21,868.2222222222222,1339.7777777777778
Aljunied,EW9,WEEKENDS/HOLIDAY,22,639.8888888888889,1157.2222222222222
Aljunied,EW9,WEEKENDS/HOLIDAY,23,312.44444444444446,627.2222222222222
Ang Mo Kio,NS16,WEEKDAY,0,60.45454545454545,401.95454545454544
Ang Mo Kio,NS16,WEEKDAY,5,761.7727272727273,133.77272727272728
Ang Mo Kio,NS16,WEEKDAY,6,2212.9545454545455,1203.0454545454545
Ang Mo Kio,NS16,WEEKDAY,7,4085.681818181818,2515.5454545454545
Ang Mo Kio,NS16,WEEKDAY,8,4673.818181818182,2658.4545454545455
Ang Mo Kio,NS16,WEEKDAY,9,2940.681818181818,1607.4545454545455
Ang Mo Kio,NS16,WEEKDAY,10,2023.0,1415.9545454545455
Ang Mo Kio,NS16,WEEKDAY,11,1834.1363636363637,1351.6818181818182
Ang Mo Kio,NS16,WEEKDAY,12,1898.8636363636363,1641.7272727272727
Ang Mo Kio,NS16,WEEKDAY,13,1844.909090909091,1772.2727272727273
Ang Mo Kio,NS16,WEEKDAY,14,1658.2272727272727,1760.9545454545455
Ang Mo Kio,NS16,WEEKDAY,15,1647.3181818181818,1996.4545454545455
Ang Mo Kio,NS16,WEEKDAY,16,1774.7727272727273,2318.4545454545455
Ang Mo Kio,NS16,WEEKDAY,17,2664.181818181818,3575.2272727272725
Ang Mo Kio,NS16,WEEKDAY,18,3328.409090909091,5710.818181818182
Ang Mo Kio,NS16,WEEKDAY,19,2146.5454545454545,4149.545454545455
Ang Mo Kio,NS16,WEEKDAY,20,1604.0454545454545,2896.2727272727275
Ang Mo Kio,NS16,WEEKDAY,21,1396.1363636363637,2794.5454545454545
Ang Mo Kio,NS16,WEEKDAY,22,872.0,2563.6363636363635
Ang Mo Kio,NS16,WEEKDAY,23,353.95454545454544,1372.409090909091
