STATION_NAME,station_codes,DAY_TYPE,TIME_PER_HOUR,daily_avg_tap_in,daily_avg_tap_out
Admiralty,NS10,WEEKDAY,0,39.21951219512195,355.0731707317073
Admiralty,NS10,WEEKDAY,5,1119.1707317073171,144.14634146341464
Admiralty,NS10,WEEKDAY,6,3756.5365853658536,909.4146341463414
Admiralty,NS10,WEEKDAY,7,7399.756097560976,2376.878048780488
Admiralty,NS10,WEEKDAY,8,5609.365853658536,2294.0
Admiralty,NS10,WEEKDAY,9,2758.829268292683,1250.1951219512196
Admiralty,NS10,WEEKDAY,10,1952.341463414634,852.439024390244
Admiralty,NS10,WEEKDAY,11,1721.9512195121952,861.0731707317074
Admiralty,NS10,WEEKDAY,12,1640.0975609756097,1056.878048780488
Admiralty,NS10,WEEKDAY,13,1465.7560975609756,1172.4878048780488
Admiralty,NS10,WEEKDAY,14,1251.121951219512,1246.9756097560976
Admiralty,NS10,WEEKDAY,15,1187.7560975609756,1341.3658536585365
Admiralty,NS10,WEEKDAY,16,1518.8292682926829,1800.2439024390244
Admiralty,NS10,WEEKDAY,17,3088.5365853658536,3013.8048780487807
Admiralty,NS10,WEEKDAY,18,3352.829268292683,5628.975609756098
Admiralty,NS10,WEEKDAY,19,1689.560975609756,4581.024390243902
Admiralty,NS10,WEEKDAY,20,1146.2926829268292,2869.4634146341464
Admiralty,NS10,WEEKDAY,21,796.7317073170732,2531.317073170732
Admiralty,NS10,WEEKDAY,22,505.8048780487805,2155.0243902439024
Admiralty,NS10,WEEKDAY,23,201.21951219512195,1112.0975609756097
Admiralty,NS10,WEEKENDS/HOLIDAY,0,43.1578947368421,388.63157894736844
Admiralty,NS10,WEEKENDS/HOLIDAY,5,501.4736842105263,70.52631578947368
Admiralty,NS10,WEEKENDS/HOLIDAY,6,1380.9473684210527,354.5263157894737
Admiralty,NS10,WEEKENDS/HOLIDAY,7,1796.0,840.0
Admiralty,NS10,WEEKENDS/HOLIDAY,8,2158.7368421052633,1132.2105263157894
Admiralty,NS10,WEEKENDS/HOLIDAY,9,2320.0,1088.842105263158
Admiralty,NS10,WEEKENDS/HOLIDAY,10,2255.7894736842104,938.8421052631579
Admiralty,NS10,WEEKENDS/HOLIDAY,11,2164.5263157894738,1009.578947368421
Admiralty,NS10,WEEKENDS/HOLIDAY,12,2084.5263157894738,1158.2105263157894
Admiralty,NS10,WEEKENDS/HOLIDAY,13,1850.842105263158,1386.5263157894738
Admiralty,NS10,WEEKENDS/HOLIDAY,14,1658.0,1385.157894736842
Admiralty,NS10,WEEKENDS/HOLIDAY,15,1561.2631578947369,1462.6315789473683
Admiralty,NS10,WEEKENDS/HOLIDAY,16,1643.0526315789473,1523.2631578947369
Admiralty,NS10,WEEKENDS/HOLIDAY,17,1904.6315789473683,1855.6842105263158
