STATION_NAME,station_codes,DAY_TYPE,TIME_PER_HOUR,daily_avg_tap_in,daily_avg_tap_out
Admiralty,NS10,WEEKDAY,0,34.61904761904762,353.1904761904762
Admiralty,NS10,WEEKDAY,5,1187.4761904761904,148.04761904761904
Admiralty,NS10,WEEKDAY,6,4700.619047619048,1153.5714285714287
Admiralty,NS10,WEEKDAY,7,8203.904761904761,2972.4285714285716
Admiralty,NS10,WEEKDAY,8,5790.238095238095,2476.4285714285716
Admiralty,NS10,WEEKDAY,9,2850.095238095238,1233.857142857143
Admiralty,NS10,WEEKDAY,10,1902.7619047619048,827.047619047619
Admiralty,NS10,WEEKDAY,11,1665.4761904761904,869.1904761904761
Admiralty,NS10,WEEKDAY,12,1692.7619047619048,1108.904761904762
Admiralty,NS10,WEEKDAY,13,1516.5238095238096,1312.142857142857
Admiralty,NS10,WEEKDAY,14,1402.7142857142858,1436.5714285714287
Admiralty,NS10,WEEKDAY,15,1239.952380952381,1620.095238095238
Admiralty,NS10,WEEKDAY,16,1554.7619047619048,2053.5714285714284
Admiralty,NS10,WEEKDAY,17,3261.714285714286,3298.5238095238096
Admiralty,NS10,WEEKDAY,18,3501.5238095238096,5761.0
Admiralty,NS10,WEEKDAY,19,1730.7142857142858,4696.476190476191
Admiralty,NS10,WEEKDAY,20,1226.7619047619048,2911.9523809523807
Admiralty,NS10,WEEKDAY,21,803.1904761904761,2550.1428571428573
Admiralty,NS10,WEEKDAY,22,482.3333333333333,2186.5714285714284
Admiralty,NS10,WEEKDAY,23,185.66666666666666,1108.7142857142858
Admiralty,NS10,WEEKENDS/HOLIDAY,0,39.3,411.3
Admiralty,NS10,WEEKENDS/HOLIDAY,5,604.6,73.1
Admiralty,NS10,WEEKENDS/HOLIDAY,6,1542.7,428.9
Admiralty,NS10,WEEKENDS/HOLIDAY,7,2073.5,975.3
Admiralty,NS10,WEEKENDS/HOLIDAY,8,2403.7,1228.9
Admiralty,NS10,WEEKENDS/HOLIDAY,9,2521.7,1147.6
Admiralty,NS10,WEEKENDS/HOLIDAY,10,2444.5,1028.8
Admiralty,NS10,WEEKENDS/HOLIDAY,11,2358.5,1129.2
Admiralty,NS10,WEEKENDS/HOLIDAY,12,2314.4,1331.5
Admiralty,NS10,WEEKENDS/HOLIDAY,13,2076.5,1592.3
Admiralty,NS10,WEEKENDS/HOLIDAY,14,1844.3,1595.9
Admiralty,NS10,WEEKENDS/HOLIDAY,15,1677.2,1695.6
Admiralty,NS10,WEEKENDS/HOLIDAY,16,1775.5,1770.0
Admiralty,NS10,WEEKENDS/HOLIDAY,17,2074.2,2035.9
Admiralty,NS10,WEEKENDS/HOLIDAY,18,1798.7,2253.1
Admiralty,NS10,WEEKENDS/HOLIDAY,19,1290.8,2245.1
Admiralty,NS10,WEEKENDS/HOLIDAY,20,1031.0,2284.2
Admiralty,NS10,WEEKENDS/HOLIDAY,21,744.9,2299.7
Admiralty,NS10,WEEKENDS/HOLIDAY,22,485.1,2097.6
Admiralty,NS10,WEEKENDS/HOLIDAY,23,210.2,1273.5
Aljunied,EW9,WEEKDAY,0,12.333333333333334,64.57142857142857
Aljunied,EW9,WEEKDAY,5,303.85714285714283,41.666666666666664
Aljunied,EW9,WEEKDAY,6,2240.4285714285716,553.6666666666666
Aljunied,EW9,WEEKDAY,7,2856.7619047619046,1591.5714285714287
Aljunied,EW9,WEEKDAY,8,2624.9523809523807,1779.1904761904761
Aljunied,EW9,WEEKDAY,9,1462.5714285714287,1060.095238095238
Aljunied,EW9,WEEKDAY,10,905.3809523809524,619.047619047619
Aljunied,EW9,WEEKDAY,11,806.5238095238095,572.9047619047619
Aljunied,EW9,WEEKDAY,12,937.5714285714286,686.3333333333334
Aljunied,EW9,WEEKDAY,13,1224.4761904761904,814.7142857142857
Aljunied,EW9,WEEKDAY,14,920.6666666666666,764.7142857142857
Aljunied,EW9,WEEKDAY,15,880.7619047619048,837.7619047619048
Aljunied,EW9,WEEKDAY,16,1025.7142857142858,930.6666666666666
Aljunied,EW9,WEEKDAY,17,1733.142857142857,1641.7142857142858
Aljunied,EW9,WEEKDAY,18,2139.904761904762,3152.6666666666665
Aljunied,EW9,WEEKDAY,19,1130.5714285714287,3081.3809523809523
Aljunied,EW9,WEEKDAY,20,809.7619047619048,1809.6190476190477
Aljunied,EW9,WEEKDAY,21,764.4761904761905,1595.7619047619048
Aljunied,EW9,WEEKDAY,22,536.7619047619048,1222.5714285714287
Aljunied,EW9,WEEKDAY,23,253.47619047619048,576.7142857142857
Aljunied,EW9,WEEKENDS/HOLIDAY,0,14.6,77.7
Aljunied,EW9,WEEKENDS/HOLIDAY,5,150.2,10.7
Aljunied,EW9,WEEKENDS/HOLIDAY,6,1402.4,272.8
Aljunied,EW9,WEEKENDS/HOLIDAY,7,1457.4,570.9
Aljunied,EW9,WEEKENDS/HOLIDAY,8,1174.4,966.6
Aljunied,EW9,WEEKENDS/HOLIDAY,9,1107.5,1317.6
Aljunied,EW9,WEEKENDS/HOLIDAY,10,1136.9,1175.2
Aljunied,EW9,WEEKENDS/HOLIDAY,11,1251.1,1014.6
Aljunied,EW9,WEEKENDS/HOLIDAY,12,1536.5,1089.1
Aljunied,EW9,WEEKENDS/HOLIDAY,13,1401.6,1214.6
Aljunied,EW9,WEEKENDS/HOLIDAY,14,1259.5,1213.2
Aljunied,EW9,WEEKENDS/HOLIDAY,15,1272.3,1193.2
Aljunied,EW9,WEEKENDS/HOLIDAY,16,1422.4,1356.5
Aljunied,EW9,WEEKENDS/HOLIDAY,17,1499.6,1730.2
Aljunied,EW9,WEEKENDS/HOLIDAY,18,1417.7,2041.3
Aljunied,EW9,WEEKENDS/HOLIDAY,19,1257.3,2131.6
Aljunied,EW9,WEEKENDS/HOLIDAY,20,1103.9,1621.4
Aljunied,EW9,WEEKENDS/HOLIDAY,21,929.5,1440.6
Aljunied,EW9,WEEKENDS/HOLIDAY,22,692.5,1160.3
Aljunied,EW9,WEEKENDS/HOLIDAY,23,338.9,603.9
Ang Mo Kio,NS16,WEEKDAY,0,45.0,265.5238095238095
Ang Mo Kio,NS16,WEEKDAY,5,835.8571428571429,152.57142857142858
Ang Mo Kio,NS16,WEEKDAY,6,2785.6190476190477,1792.5238095238096
Ang Mo Kio,NS16,WEEKDAY,7,5005.857142857143,3566.0476190476193
Ang Mo Kio,NS16,WEEKDAY,8,5463.190476190476,2951.7619047619046
Ang Mo Kio,NS16,WEEKDAY,9,3116.714285714286,1748.2380952380952
Ang Mo Kio,NS16,WEEKDAY,10,1942.142857142857,1414.7619047619048
Ang Mo Kio,NS16,WEEKDAY,11,1723.904761904762,1330.142857142857
Ang Mo Kio,NS16,WEEKDAY,12,1834.8095238095239,1676.047619047619
Ang Mo Kio,NS16,WEEKDAY,13,1912.5238095238096,1733.047619047619
Ang Mo Kio,NS16,WEEKDAY,14,1955.904761904762,1831.2380952380952
Ang Mo Kio,NS16,WEEKDAY,15,1793.8095238095239,2086.9523809523807
Ang Mo Kio,NS16,WEEKDAY,16,1920.2857142857142,2432.3333333333335
Ang Mo Kio,NS16,WEEKDAY,17,2966.0476190476193,4018.5714285714284
Ang Mo Kio,NS16,WEEKDAY,18,3767.8571428571427,6660.809523809524
Ang Mo Kio,NS16,WEEKDAY,19,2344.0,4873.190476190476
Ang Mo Kio,NS16,WEEKDAY,20,1669.047619047619,3143.3809523809523
Ang Mo Kio,NS16,WEEKDAY,21,1512.095238095238,2867.809523809524
Ang Mo Kio,NS16,WEEKDAY,22,914.7142857142857,2455.1428571428573
Ang Mo Kio,NS16,WEEKDAY,23,355.76190476190476,1243.3333333333333
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,0,53.8,434.3
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,5,430.8,55.2
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,6,1266.4,654.1
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,7,1730.2,1112.5
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,8,2222.3,1430.7
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,9,2682.6,1567.3
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,10,2369.7,1587.4
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,11,2303.1,1669.9
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,12,2374.9,1906.6
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,13,2331.3,2184.7
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,14,2179.8,2136.0
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,15,2081.2,2306.5
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,16,2112.7,2461.0
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,17,2206.7,2750.5
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,18,2123.5,2961.2
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,19,1799.2,2647.9
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,20,1476.4,2484.8
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,21,1304.0,2566.3
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,22,898.4,2484.8
Ang Mo Kio,NS16,WEEKENDS/HOLIDAY,23,351.6,1454.2
Bartley,CC12,WEEKDAY,0,1.9047619047619047,14.285714285714286
Bartley,CC12,WEEKDAY,5,41.666666666666664,7.619047619047619
