STATION_NAME,station_codes,DAY_TYPE,TIME_PER_HOUR,daily_avg_tap_in,daily_avg_tap_out
Admiralty,NS10,WEEKDAY,0,37.95,365.8
Admiralty,NS10,WEEKDAY,5,1145.2,145.95
Admiralty,NS10,WEEKDAY,6,3861.75,949.45
Admiralty,NS10,WEEKDAY,7,7666.75,2610.35
Admiralty,NS10,WEEKDAY,8,5792.2,2395.3
Admiralty,NS10,WEEKDAY,9,2876.25,1210.1
Admiralty,NS10,WEEKDAY,10,1945.3,857.45
Admiralty,NS10,WEEKDAY,11,1751.0,878.1
Admiralty,NS10,WEEKDAY,12,1717.2,1097.8
Admiralty,NS10,WEEKDAY,13,1486.15,1268.05
Admiralty,NS10,WEEKDAY,14,1287.2,1292.6
Admiralty,NS10,WEEKDAY,15,1190.7,1394.15
Admiralty,NS10,WEEKDAY,16,1552.9,1887.6
Admiralty,NS10,WEEKDAY,17,3139.45,3199.25
Admiralty,NS10,WEEKDAY,18,3333.15,5566.9
Admiralty,NS10,WEEKDAY,19,1660.0,4520.65
Admiralty,NS10,WEEKDAY,20,1121.85,2818.15
Admiralty,NS10,WEEKDAY,21,744.7,2475.4
Admiralty,NS10,WEEKDAY,22,466.6,2147.65
Admiralty,NS10,WEEKDAY,23,187.4,1138.65
Admiralty,NS10,WEEKENDS/HOLIDAY,0,45.8,465.4
Admiralty,NS10,WEEKENDS/HOLIDAY,5,587.5,68.0
Admiralty,NS10,WEEKENDS/HOLIDAY,6,1557.3,422.9
Admiralty,NS10,WEEKENDS/HOLIDAY,7,2210.5,983.6
Admiralty,NS10,WEEKENDS/HOLIDAY,8,2446.2,1228.6
Admiralty,NS10,WEEKENDS/HOLIDAY,9,2548.7,1148.6
Admiralty,NS10,WEEKENDS/HOLIDAY,10,2428.7,1050.0
Admiralty,NS10,WEEKENDS/HOLIDAY,11,2332.7,1111.9
Admiralty,NS10,WEEKENDS/HOLIDAY,12,2244.4,1274.9
Admiralty,NS10,WEEKENDS/HOLIDAY,13,2058.4,1547.7
Admiralty,NS10,WEEKENDS/HOLIDAY,14,1790.5,1619.9
Admiralty,NS10,WEEKENDS/HOLIDAY,15,1622.4,1607.7
Admiralty,NS10,WEEKENDS/HOLIDAY,16,1738.3,1712.6
Admiralty,NS10,WEEKENDS/HOLIDAY,17,2096.0,1999.3
Admiralty,NS10,WEEKENDS/HOLIDAY,18,1833.1,2255.6
Admiralty,NS10,WEEKENDS/HOLIDAY,19,1286.8,2314.7
Admiralty,NS10,WEEKENDS/HOLIDAY,20,987.6,2197.9
Admiralty,NS10,WEEKENDS/HOLIDAY,21,711.5,2258.4
Admiralty,NS10,WEEKENDS/HOLIDAY,22,464.6,2087.4
