YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-08,WEEKENDS/HOLIDAY,11,TRAIN,TE22,1314,4578
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,296,1927
2024-08,WEEKDAY,0,TRAIN,NE17/PTC,462,3675
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1424,861
2024-08,WEEKDAY,13,TRAIN,BP12,4233,1582
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,22614,21427
2024-08,WEEKDAY,14,TRAIN,NS17/CC15,46267,42209
2024-08,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,8528,6604
2024-08,WEEKDAY,16,TRAIN,CC10/DT26,15659,13885
2024-08,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3432,1233
2024-08,WEEKDAY,6,TRAIN,DT28,15912,7157
2024-08,WEEKDAY,5,TRAIN,DT7,224,63
2024-08,WEEKENDS/HOLIDAY,5,TRAIN,DT7,39,7
2024-08,WEEKENDS/HOLIDAY,11,TRAIN,PW5,2363,988
2024-08,WEEKDAY,11,TRAIN,PW5,2589,1797
2024-08,WEEKDAY,18,TRAIN,BP3,4765,14723
2024-08,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1849,2463
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,CC28,545,2062
2024-08,WEEKDAY,22,TRAIN,CC28,1178,4545
2024-08,WEEKDAY,13,TRAIN,SW6,4043,4288
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1906,1624
2024-08,WEEKDAY,17,TRAIN,NE12/CC13,71439,114469
2024-08,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,33627,40165
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,17422,19164
2024-08,WEEKDAY,8,TRAIN,NS21/DT11,112357,133641
2024-08,WEEKDAY,0,TRAIN,NE16/STC,539,3800
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,260,1899
2024-08,WEEKENDS/HOLIDAY,17,TRAIN,DT21,5375,3887
2024-08,WEEKDAY,17,TRAIN,DT21,17541,9594
2024-08,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,28228,35390
2024-08,WEEKDAY,19,TRAIN,NE12/CC13,67692,138417
2024-08,WEEKENDS/HOLIDAY,6,TRAIN,EW31,1843,2673
2024-08,WEEKDAY,6,TRAIN,EW31,6155,12048
2024-08,WEEKENDS/HOLIDAY,15,TRAIN,EW7,7278,8043
2024-08,WEEKDAY,15,TRAIN,EW7,10723,15670
2024-08,WEEKENDS/HOLIDAY,23,TRAIN,CC23,398,390
2024-08,WEEKDAY,23,TRAIN,CC23,1513,578
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,DT13,3300,4416
2024-08,WEEKDAY,22,TRAIN,DT13,7679,8719
2024-08,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1178,8651
2024-08,WEEKDAY,23,TRAIN,NE14,2367,18710
2024-08,WEEKDAY,22,TRAIN,NS9/TE2,25486,63536
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,13397,29018
2024-08,WEEKDAY,12,TRAIN,DT22,8116,9285
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,DT22,4787,7272
2024-08,WEEKENDS/HOLIDAY,18,TRAIN,DT28,6075,6099
2024-08,WEEKDAY,18,TRAIN,DT28,38828,26472
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,DT34,2670,1402
2024-08,WEEKDAY,12,TRAIN,DT34,5596,3709
2024-08,WEEKDAY,9,TRAIN,SW7,4362,1070
2024-08,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1790,529
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,27256,23562
2024-08,WEEKDAY,12,TRAIN,NE17/PTC,39531,39156
2024-08,WEEKDAY,19,TRAIN,NE8,38420,64942
2024-08,WEEKENDS/HOLIDAY,19,TRAIN,NE8,27221,28644
2024-08,WEEKDAY,21,TRAIN,CC24,28870,5106
2024-08,WEEKENDS/HOLIDAY,21,TRAIN,CC24,3988,3070
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,29654,33566
2024-08,WEEKDAY,12,TRAIN,EW8/CC9,42716,53825
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,BP5,520,918
2024-08,WEEKDAY,20,TRAIN,BP5,1506,2346
2024-08,WEEKDAY,12,TRAIN,EW15,34871,38333
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,EW15,10431,13478
2024-08,WEEKENDS/HOLIDAY,7,TRAIN,SW4,1177,318
