YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-06,WEEKENDS/HOLIDAY,0,TRAIN,CC16,15,105
2025-06,WEEKDAY,14,TRAIN,NE9,19216,16421
2025-06,WEEKDAY,9,TRAIN,EW9,29409,22250
2025-06,WEEKENDS/HOLIDAY,17,TRAIN,BP11,1504,1383
2025-06,WEEKDAY,0,TRAIN,TE26,107,466
2025-06,WEEKDAY,11,TRAIN,DT6,7214,4721
2025-06,WEEKENDS/HOLIDAY,7,TRAIN,NS16,14425,8818
2025-06,WEEKENDS/HOLIDAY,10,TRAIN,DT7,2140,1255
2025-06,WEEKENDS/HOLIDAY,7,TRAIN,NE17/PTC,9952,5004
2025-06,WEEKENDS/HOLIDAY,13,TRAIN,EW25,5105,5631
2025-06,WEEKDAY,7,TRAIN,PE5,19412,2501
2025-06,WEEKENDS/HOLIDAY,19,TRAIN,NS20,17348,10934
2025-06,WEEKDAY,14,TRAIN,CC8,6683,5808
2025-06,WEEKENDS/HOLIDAY,8,TRAIN,PW3,692,283
2025-06,WEEKDAY,9,TRAIN,NS16,63326,34625
2025-06,WEEKDAY,21,TRAIN,CC19/DT9,4445,3352
2025-06,WEEKENDS/HOLIDAY,15,TRAIN,EW17,10860,11949
2025-06,WEEKDAY,16,TRAIN,TE18,12257,8323
2025-06,WEEKENDS/HOLIDAY,18,TRAIN,BP8,875,943
2025-06,WEEKENDS/HOLIDAY,21,TRAIN,DT7,670,1762
2025-06,WEEKDAY,18,TRAIN,CC2,16316,8195
2025-06,WEEKENDS/HOLIDAY,5,TRAIN,TE15,23,7
2025-06,WEEKDAY,8,TRAIN,CC20,14282,8601
2025-06,WEEKENDS/HOLIDAY,12,TRAIN,CC17/TE9,2833,1911
2025-06,WEEKENDS/HOLIDAY,18,TRAIN,NS7,19305,14045
2025-06,WEEKDAY,22,TRAIN,PE3,1245,5303
2025-06,WEEKENDS/HOLIDAY,23,TRAIN,DT31,477,2491
2025-06,WEEKDAY,13,TRAIN,BP13,1142,1061
2025-06,WEEKDAY,15,TRAIN,TE24,2378,2989
2025-06,WEEKENDS/HOLIDAY,12,TRAIN,PE6,4401,3170
2025-06,WEEKDAY,21,TRAIN,TE29,882,4389
2025-06,WEEKENDS/HOLIDAY,16,TRAIN,NS11,16546,17965
2025-06,WEEKENDS/HOLIDAY,21,TRAIN,DT22,9833,4922
2025-06,WEEKDAY,19,TRAIN,DT18,45208,11979
2025-06,WEEKDAY,16,TRAIN,CE1/DT16,34720,34417
2025-06,WEEKENDS/HOLIDAY,14,TRAIN,TE29,1335,1602
2025-06,WEEKDAY,9,TRAIN,PE1,5813,1513
2025-06,WEEKDAY,10,TRAIN,TE11,4164,2234
2025-06,WEEKENDS/HOLIDAY,21,TRAIN,BP3,642,2360
2025-06,WEEKENDS/HOLIDAY,17,TRAIN,CC12,3279,2513
2025-06,WEEKDAY,15,TRAIN,EW20,10608,9340
2025-06,WEEKDAY,20,TRAIN,NE1/CC29,96678,25403
2025-06,WEEKENDS/HOLIDAY,5,TRAIN,EW30,347,146
2025-06,WEEKDAY,19,TRAIN,CC11,48079,20546
2025-06,WEEKENDS/HOLIDAY,11,TRAIN,CC27,712,1041
2025-06,WEEKDAY,5,TRAIN,EW23,5677,4219
2025-06,WEEKDAY,17,TRAIN,PE7,4299,6547
2025-06,WEEKDAY,15,TRAIN,NS27/CE2/TE20,4426,3767
2025-06,WEEKENDS/HOLIDAY,20,TRAIN,DT27,2354,4839
2025-06,WEEKENDS/HOLIDAY,5,TRAIN,EW10,293,73
2025-06,WEEKDAY,21,TRAIN,SE2,1747,8342
2025-06,WEEKENDS/HOLIDAY,9,TRAIN,EW7,8506,5275
2025-06,WEEKDAY,14,TRAIN,EW5,26604,25247
2025-06,WEEKDAY,17,TRAIN,TE14/NS22,119665,85159
2025-06,WEEKENDS/HOLIDAY,18,TRAIN,BP12,990,1257
2025-06,WEEKENDS/HOLIDAY,17,TRAIN,TE16,4213,3696
2025-06,WEEKENDS/HOLIDAY,23,TRAIN,EW24/NS1,6132,6710
2025-06,WEEKDAY,12,TRAIN,SW1,4099,4566
2025-06,WEEKENDS/HOLIDAY,18,TRAIN,EW29,9424,8271
2025-06,WEEKDAY,14,TRAIN,SW6,2908,3033
2025-06,WEEKENDS/HOLIDAY,6,TRAIN,BP7,387,68
2025-06,WEEKENDS/HOLIDAY,9,TRAIN,NS12,10695,4460
2025-06,WEEKENDS/HOLIDAY,16,TRAIN,DT22,5881,7028
2025-06,WEEKENDS/HOLIDAY,20,TRAIN,DT31,1891,4889
2025-06,WEEKENDS/HOLIDAY,9,TRAIN,EW17,11846,8584
2025-06,WEEKENDS/HOLIDAY,11,TRAIN,TE22,1652,4387
2025-06,WEEKDAY,21,TRAIN,NE10,8930,17765
2025-06,WEEKENDS/HOLIDAY,19,TRAIN,SE3,817,1928
2025-06,WEEKENDS/HOLIDAY,10,TRAIN,DT29,4065,1231
2025-06,WEEKENDS/HOLIDAY,17,TRAIN,BP9,916,1111
2025-06,WEEKDAY,8,TRAIN,DT8,8610,7720
2025-06,WEEKDAY,9,TRAIN,DT30,19992,3301
2025-06,WEEKDAY,12,TRAIN,DT30,7254,3907
2025-06,WEEKDAY,0,TRAIN,DT8,14,181
2025-06,WEEKENDS/HOLIDAY,22,TRAIN,TE22,3627,461
2025-06,WEEKDAY,12,TRAIN,DT7,3542,3252
2025-06,WEEKDAY,10,TRAIN,PW2,58,114
2025-06,WEEKDAY,16,TRAIN,DT21,8261,7037
2025-06,WEEKENDS/HOLIDAY,8,TRAIN,NS4/BP1,15262,10174
2025-06,WEEKDAY,12,TRAIN,BP5,2350,1711
2025-06,WEEKDAY,15,TRAIN,DT17,12940,6586
2025-06,WEEKDAY,19,TRAIN,CC7,7009,14198
2025-06,WEEKENDS/HOLIDAY,18,TRAIN,EW16/NE3/TE17,11533,9826
2025-06,WEEKDAY,11,TRAIN,NS11,33167,17669
2025-06,WEEKDAY,6,TRAIN,NS9/TE2,72430,35155
2025-06,WEEKDAY,11,TRAIN,TE8,8128,8772
2025-06,WEEKENDS/HOLIDAY,0,TRAIN,EW26,27,2175
2025-06,WEEKENDS/HOLIDAY,5,TRAIN,DT27,208,18
2025-06,WEEKENDS/HOLIDAY,16,TRAIN,EW12/DT14,45641,40977
2025-06,WEEKENDS/HOLIDAY,22,TRAIN,EW22,750,2489
2025-06,WEEKDAY,11,TRAIN,CC4/DT15,12127,26049
2025-06,WEEKENDS/HOLIDAY,7,TRAIN,SE1,1431,565
2025-06,WEEKENDS/HOLIDAY,11,TRAIN,EW14/NS26,8390,13217
2025-06,WEEKDAY,15,TRAIN,CC16,4848,4771
2025-06,WEEKDAY,9,TRAIN,TE4,5111,5725
2025-06,WEEKENDS/HOLIDAY,12,TRAIN,NS27/CE2/TE20,1701,2699
2025-06,WEEKDAY,10,TRAIN,PW3,1110,405
2025-06,WEEKDAY,12,TRAIN,NS13,42584,38477
2025-06,WEEKDAY,0,TRAIN,BP6/DT1,2,4950
2025-06,WEEKDAY,18,TRAIN,NE7/DT12,65667,53050
2025-06,WEEKDAY,14,TRAIN,CC16,4236,5062
2025-06,WEEKDAY,6,TRAIN,NS18,15405,4555
2025-06,WEEKENDS/HOLIDAY,8,TRAIN,NS24/NE6/CC1,3262,8650
2025-06,WEEKENDS/HOLIDAY,17,TRAIN,SE1,1968,1817
2025-06,WEEKENDS/HOLIDAY,6,TRAIN,PW4,845,190
2025-06,WEEKENDS/HOLIDAY,23,TRAIN,EW5,1866,8161
2025-06,WEEKDAY,17,TRAIN,NS17/CC15,45530,34396
2025-06,WEEKDAY,5,TRAIN,PE5,2372,91
2025-06,WEEKDAY,20,TRAIN,CG2,27565,18096
2025-06,WEEKDAY,12,TRAIN,PE7,4445,2953
2025-06,WEEKDAY,15,TRAIN,NS8,14242,12477
2025-06,WEEKDAY,10,TRAIN,PE5,6616,2275
2025-06,WEEKDAY,8,TRAIN,CC2,2181,16862
2025-06,WEEKENDS/HOLIDAY,14,TRAIN,CC7,2609,3096
2025-06,WEEKDAY,0,TRAIN,NS10,804,7279
2025-06,WEEKDAY,16,TRAIN,EW2/DT32,49732,63689
2025-06,WEEKENDS/HOLIDAY,13,TRAIN,PW7,1547,1716
2025-06,WEEKDAY,16,TRAIN,SW2,5292,5771
2025-06,WEEKDAY,18,TRAIN,NS16,72812,137347
2025-06,WEEKENDS/HOLIDAY,22,TRAIN,DT8,454,828
2025-06,WEEKENDS/HOLIDAY,21,TRAIN,BP6/DT1,10358,22051
2025-06,WEEKDAY,20,TRAIN,PW2,154,46
